Importers,Value imported in 2024 (USD thousand),Trade balance in 2024 (USD thousand),Quantity imported in 2024,Unit value (USD/unit),Annual growth in value between 2020-2024 (%),Annual growth in quantity between 2020-2024 (%),Annual growth in value between 2023-2024 (%),Share in world imports (%),Average distance of supplying countries (km),Concentration of supplying countries,Average tariff (estimated) applied by the country (%),Region,Concerterntion of supplier
Germany,91361,-25985,341423,268,8,16,-9,9,660,0.26,1.8,Europe,Not Manoply
United States of America,54248,-13806,105800,513,5,3,28,5.3,2918,0.64,1.8,North America,Manoply
Italy,50769,-50762,97632,520,6,4,2,5,825,0.19,1.8,Europe,Not Manoply
France,41958,-2345,62054,676,8,0,3,4.1,689,0.25,1.8,Europe,Not Manoply
Israel,38792,-33359,62769,618,13,4,10,3.8,3515,0.46,1.8,Middle East,Not Manoply
Viet Nam,34586,-33906,55396,624,9,1,-9,3.4,1916,0.31,2.1,Southeast Asia,Not Manoply
"Taipei, Chinese",33727,-27402,52012,648,-7,-12,-15,3.3,1880,0.42,4.1,East Asia,Not Manoply
United Kingdom,33184,-29494,52702,630,43,44,19,3.3,789,0.37,1.1,Europe,Not Manoply
Belgium,27445,108092,46793,587,11,15,-11,2.7,863,0.28,1.8,Europe,Not Manoply
Austria,26701,4369,48547,550,13,4,4,2.6,655,0.39,1.8,Europe,Not Manoply
Netherlands,26482,69914,46337,572,2,-8,-12,2.6,585,0.47,1.8,Europe,Not Manoply
Ireland,24830,-24572,17230,1441,17,-3,-4,2.4,2900,0.5,1.8,Europe,Not Manoply
Mexico,24112,-23263,44997,536,4,1,6,2.4,1635,1,0,North America,Manoply
Indonesia,22859,-10206,49812,459,11,8,7,2.2,3575,0.33,4.6,Southeast Asia,Not Manoply
Portugal,22266,-19119,37739,590,12,4,-1,2.2,1604,0.22,1.8,Europe,Not Manoply
Singapore,22002,-9505,27871,789,13,8,12,2.2,1722,0.39,0,Southeast Asia,Not Manoply
Chile,21184,-20096,48505,437,-3,-6,-11,2.1,4114,0.85,3.2,South America,Manoply
Spain,19724,-10783,38675,510,11,4,26,1.9,1241,0.2,1.8,Europe,Not Manoply
Czech Republic,19180,-18583,39958,480,7,4,11,1.9,499,0.61,1.8,Europe,Manoply
Peru,17334,-17327,28472,609,11,3,-9,1.7,5979,0.56,0,South America,Manoply
Argentina,17123,-17123,24420,701,0,-7,-25,1.7,3340,0.65,9.5,South America,Manoply
India,16016,-4412,46171,347,3,8,-4,1.6,1616,0.67,5.9,South Asia,Manoply
China,15912,-5068,17749,897,-20,-23,-7,1.6,2454,0.37,5.9,East Asia,Not Manoply
Sweden,15121,37147,42683,354,-4,0,30,1.5,585,0.53,1.8,Europe,Manoply
Switzerland,14334,-12728,18980,755,5,-3,-18,1.4,600,0.32,0,Europe,Not Manoply
Türkiye,13886,-784,25858,537,-4,4,-13,1.4,2489,0.46,2.7,Middle East,Not Manoply
Malaysia,13109,-12460,19624,668,2,-3,-17,1.3,2721,0.22,0,Southeast Asia,Not Manoply
Colombia,12760,-12713,21046,606,2,-3,-8,1.3,5022,0.61,0,South America,Manoply
Canada,11868,31469,6416,1850,-7,-18,5,1.2,2323,0.65,0.3,North America,Manoply
Poland,11640,-6995,25554,456,10,5,-14,1.1,836,0.23,1.8,Europe,Not Manoply
Japan,10298,6183,23294,442,-1,3,8,1,1338,0.75,0.9,East Asia,Manoply
Ecuador,9890,-9497,18215,543,3,3,-51,1,7679,0.51,0,South America,Manoply
Russian Federation,9204,-5721,40368,228,17,4,-71,0.9,4037,0.22,4.8,Europe,Not Manoply
Philippines,9200,-9200,18062,509,22,20,10,0.9,2675,0.42,2.7,Southeast Asia,Not Manoply
Australia,8648,-5223,17053,507,27,24,-5,0.8,7318,0.24,3.1,Oceania,Not Manoply
Jordan,8513,-8513,14991,568,13,13,2,0.8,1601,0.46,0,Middle East,Not Manoply
Slovakia,7397,-7086,15572,475,0,4,0,0.7,895,0.43,1.8,Europe,Not Manoply
Estonia,7283,-7254,14280,510,-6,4,1,0.7,491,0.4,1.8,Europe,Not Manoply
Hungary,6809,-6135,14692,463,2,-2,28,0.7,459,0.28,1.8,Europe,Not Manoply
Norway,6408,-2764,13367,479,-15,-12,7,0.6,683,0.48,0,Europe,Not Manoply
Uzbekistan,6195,-4006,9074,683,4,29,-46,0.6,2910,0.2,0,South Asia,Not Manoply
South Africa,5792,-3324,10651,544,6,1,129,0.6,9298,0.29,4.1,Africa,Not Manoply
Kazakhstan,5050,-4938,6353,795,-10,-16,-22,0.5,2928,0.37,4.8,South Asia,Not Manoply
Pakistan,4965,-3648,10584,469,5,4,21,0.5,3357,0.51,10.8,South Asia,Manoply
Nigeria,4710,-4710,5636,836,34,18,7,0.5,8910,0.26,4.7,Africa,Not Manoply
Ghana,4626,-3542,7588,610,-21,-17,-38,0.5,9635,0.31,4.1,Africa,Not Manoply
Guatemala,4559,-1491,6982,653,10,2,-8,0.4,4158,0.37,0,North America,Not Manoply
Finland,4420,-4420,9651,458,-19,4,-39,0.4,775,0.64,1.8,Europe,Manoply
Egypt,3949,-3816,6473,610,8,0,-21,0.4,2776,0.41,0,Africa,Not Manoply
"Tanzania, United Republic of",3601,-3596,5487,656,12,9,67,0.4,7392,0.2,0,Africa,Not Manoply
Lao People's Democratic Republic,3432,-3432,6766,507,14,7,158,0.3,558,0.82,4.7,Southeast Asia,Manoply
United Arab Emirates,3245,-3071,5952,545,6,9,-13,0.3,3511,0.26,4.5,Middle East,Not Manoply
Turkmenistan,3191,-3191,4401,725,39,4,36,0.3,2151,0.72,1.8,South Asia,Manoply
Ukraine,3056,-2895,3883,787,5,-5,14,0.3,1329,0.31,4,Europe,Not Manoply
Cambodia,3056,-2904,7159,427,45,46,-31,0.3,1871,0.33,3.3,Southeast Asia,Not Manoply
Guinea,2879,-2879,4698,613,-1,-14,36,0.3,4668,0.44,4.7,Africa,Not Manoply
Denmark,2836,-2658,2736,1037,12,-1,-5,0.3,859,0.2,1.8,Europe,Not Manoply
Saudi Arabia,2767,-1223,2840,974,3,-4,13,0.3,5046,0.21,4.5,Middle East,Not Manoply
El Salvador,2752,-2735,3827,719,17,5,16,0.3,4136,0.48,0,North America,Not Manoply
New Zealand,2487,-1482,2882,863,-1,4,12,0.2,10432,0.17,0,Oceania,Not Manoply
Serbia,2465,-2011,3537,697,21,8,20,0.2,795,0.22,0.8,Europe,Not Manoply
Thailand,2310,51580,2644,874,-4,-5,20,0.2,4930,0.36,2.2,Southeast Asia,Not Manoply
"Congo, Democratic Republic of the",2221,-2130,1931,1150,27,15,1491,0.2,6281,0.33,5,Africa,Not Manoply
Zimbabwe,2212,-2212,2911,760,20,19,8,0.2,4753,0.27,4.5,Africa,Not Manoply
Greece,2181,-1980,3364,648,1,-2,-12,0.2,2115,0.2,1.8,Europe,Not Manoply
Romania,2113,-1989,3950,535,7,4,7,0.2,1354,0.12,1.8,Europe,Not Manoply
Papua New Guinea,2071,-886,2012,1029,30,23,12,0.2,2987,0.94,0,Oceania,Manoply
Morocco,2021,-1981,2863,706,-2,-10,-25,0.2,2050,0.26,1.7,Africa,Not Manoply
Algeria,1964,-1964,2945,667,21,39,9,0.2,1808,0.24,12.2,Africa,Not Manoply
Kenya,1799,-1563,2905,619,13,8,18,0.2,8396,0.4,0,Africa,Not Manoply
Belarus,1791,-1772,3169,565,9,4,-16,0.2,2144,0.41,4.8,Europe,Not Manoply
"Korea, Republic of",1753,75594,1040,1686,-14,-32,-9,0.2,6019,0.16,3.1,East Asia,Not Manoply
Burkina Faso,1697,-1697,1957,867,9,1,1,0.2,6626,0.26,4.7,Africa,Not Manoply
Slovenia,1693,-1693,2642,641,15,10,-1,0.2,764,0.29,1.8,Europe,Not Manoply
Dominican Republic,1630,-1581,2449,666,1,-3,-40,0.2,4932,0.34,0,North America,Not Manoply
Tunisia,1575,-1298,2527,623,12,8,-21,0.2,1332,0.32,0,Africa,Not Manoply
Costa Rica,1550,-1064,1883,823,12,3,6,0.2,7032,0.26,0,North America,Not Manoply
Paraguay,1532,-1481,2143,715,20,20,11,0.2,2431,0.81,9.6,South America,Manoply
"Iran, Islamic Republic of",1463,-1239,926,800,18,4,0,0.1,2513,0.39,15,Middle East,Not Manoply
Sri Lanka,1289,-1261,3299,391,-5,0,3,0.1,2413,0.66,0,South Asia,Manoply
Panama,1159,-1150,997,1162,56,59,23,0.1,6132,0.19,0,North America,Not Manoply
Azerbaijan,1126,-1126,1494,754,23,18,109,0.1,1462,0.59,0,Middle East,Manoply
Uruguay,1102,-1085,1571,701,17,11,21,0.1,4395,0.65,9.6,South America,Manoply
Bahrain,1065,-1064,1743,611,8,8,-41,0.1,1426,0.44,4.5,Middle East,Not Manoply
Senegal,1061,-1061,1780,596,55,63,-34,0.1,9695,0.29,4.7,Africa,Not Manoply
Lithuania,936,-164,935,1001,21,5,-16,0.1,1202,0.33,1.8,Europe,Not Manoply
Brazil,916,60287,334,2743,-11,36,-17,0.1,9531,0.22,9.5,South America,Not Manoply
Mauritius,915,-892,1587,577,8,2,85,0.1,7942,0.26,0,Africa,Not Manoply
Bulgaria,881,-250,1336,659,-9,-17,-34,0.1,1059,0.19,1.8,Europe,Not Manoply
"Bolivia, Plurinational State of",880,-880,888,991,5,0,-10,0.1,7027,0.35,0,South America,Not Manoply
Nicaragua,796,-734,1012,787,1,-11,-51,0.1,5727,0.47,0,North America,Not Manoply
Croatia,787,-611,1076,731,5,-6,4,0.1,694,0.2,1.8,Europe,Not Manoply
Iraq,724,-724,782,926,12,4,29,0.1,3774,0.19,1.8,Middle East,Not Manoply
Kyrgyzstan,668,-668,741,901,18,-1,-28,0.1,3382,0.29,4.8,South Asia,Not Manoply
Mali,632,-632,1565,404,-16,-32,-3,0.1,3697,0.65,4.7,Africa,Manoply
Namibia,629,-619,758,830,55,50,197,0.1,5771,0.3,4.2,Africa,Not Manoply
Côte d'Ivoire,613,-613,595,1030,3,1,-23,0.1,7682,0.26,4.1,Africa,Not Manoply
"Hong Kong, China",572,-438,896,638,4,-1,15,0.1,2244,0.35,0,East Asia,Not Manoply
Uganda,559,-498,1243,450,28,18,-31,0.1,8280,0.32,0,Africa,Not Manoply
Kuwait,544,-544,728,747,11,7,1,0.1,4292,0.31,4.5,Middle East,Not Manoply
Eswatini,528,-528,459,1150,-11,-12,-10,0.1,2435,0.62,4.1,Africa,Manoply
"Libya, State of",474,-474,616,770,-3,4,78,0,1779,0.31,4.6,Africa,Not Manoply
Angola,424,-415,429,988,10,20,56,0,7649,0.29,0,Africa,Not Manoply
Nepal,415,-415,992,418,32,43,10,0,971,0.87,9.9,South Asia,Manoply
Oman,413,-413,647,638,9,0,-20,0,1732,0.28,4.5,Middle East,Not Manoply
Latvia,386,-242,447,864,28,27,10,0,812,0.3,1.8,Europe,Not Manoply
Myanmar,367,-367,1332,276,-6,-9,-72,0,681,0.61,1.4,Southeast Asia,Manoply
Qatar,362,-362,434,834,2,-15,-39,0,4500,0.15,4.5,Middle East,Not Manoply
