Compitatores,Distance,Price,Tariff,Total Price ,Tariff Category,Price Category ,Trade Agreements 
Belgium,863,587,1.8,597.566,Moderate,Low,Yes
India,1616,347,5.9,367.473,High,Low,No
Italy,825,520,1.8,529.36,Moderate,Low,Yes
China,2454,897,5.9,949.923,High,High,No
Türkiye,2489,537,2.7,551.499,High,Low,No
"Korea, Republic of",6019,1686,3.1,1738.266,High,High,No
Netherlands,585,572,1.8,582.296,Moderate,Low,Yes
South Africa,9298,544,4.1,566.304,High,Low,No
Israel,3515,618,1.8,629.124,Moderate,Moderate,Yes
Spain,1241,510,1.8,519.18,Moderate,Low,Yes
Germany,660,268,1.8,272.824,Moderate,Low,Yes
Egypt,2776,610,0,610,Low,Low,Yes
